artifact,upstream_source,copyright_holder,license,redistribution_allowed,derived_output_allowed,reviewer_access_route,required_citation
code/software,this repository (src/ scripts/ tests/ project-authored configs and docs),shutiao23 (GitHub github.com/shutiao23/stream-recoverability),MIT,true,true,public_github_mit_development_host_not_agu_archive; restricted_companion_files_via_agu_gems_confidential_data_files_for_peer_review,CITATION.cff; doi field unset; no archival DOI minted
China Hydrological Yearbook Vol. VI,Annual Hydrological Report of the PRC Volume VI (Changjiang basin hydrological data),PRC hydrological yearbook publishers (exact copyright page of supplied extracts not identified),none_established,false,restricted,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; not_a_sublicense; yearbook_permission_not_established,Wei et al. 2026 doi:10.1038/s43247-026-03340-2; Wang et al. 2024 doi:10.3390/w16121669; Yearbook Vol. VI (no standalone bibliographic record verified)
CMA surface climate V3.0,China surface climate daily value dataset V3.0 (SURF_CLI_CHN_MUL_DAY_V3.0) via RHMEAN and DH names,China Meteorological Administration / National Meteorological Information Center,cma_member_service_no_transfer,false,false,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; cma_member_registration_no_transfer,NMIC 2012 SURF_CLI_CHN_MUL_DAY_V3.0; http://data.cma.cn/
WMO/CMA series independently matching NOAA GSOD,WMO/CMA station series (Batang 56247099999; Lijiang 56651099999; Huili 56671099999); values independently match converted NOAA GSOD TEMP/WDSP/PRCP,WMO member / CMA origin; NOAA/NCEI compiles GSOD but is not treated as a redistribution licensor for these non-U.S. stations,contested_wmo_res40,false,false,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; not_noaa_open; NCEI_WMO_Res40_forbids_providing_nonUS_GSOD_or_derived_products_to_other_users,NOAA/NCEI GSOD catalog C00516 (reconciliation citation only; not a redistribution license)
NOAA GSOD product (reconciliation only),NOAA/NCEI Global Surface Summary of the Day used to match units and values; not a source license for the supplied CSVs,NOAA/NCEI (US government compilation); underlying non-U.S. station observations remain WMO-member restricted,contested_wmo_res40,false,false,independent_ncei_download_under_provider_terms_does_not_license_supplied_csvs; supplied_columns_if_shared_use_agu_gems_confidential_data_files_for_peer_review,NOAA/NCEI GSOD https://www.ncei.noaa.gov/data/global-summary-of-the-day/
Figshare 10.6084/m9.figshare.29002466.v4,Wei et al. mixed observed/simulated Upper Jinsha package used only for monthly provenance reconciliation,Wei et al. 2026 for the Figshare package; yearbook copyright is not transferred by this record,CC-BY-4.0,true,true,figshare_cc_by_4_0_package_only_not_a_license_for_supplied_daily_csvs,Wei et al. Figshare v4 doi:10.6084/m9.figshare.29002466.v4
USGS confirmatory hydrology (not_opened),USGS Water Data OGC API daily T/F/L for Upper-to-Middle Chattahoochee mainstem sites 02334430 02335000 02335450 02336000 02337170 (HUC8 03130001/03130002; not Lower 03130004),U.S. Geological Survey (US government work; generally publishable after acquisition),usgs_usgov_generally_publishable,not_opened,not_opened,public_usgs_ogc_api_after_roster_authorization; status_not_opened; does_not_sanitize_jinsha_inputs,USGS Water Data; site and parameter codes in configs/design_freeze_v2.yaml
NASA POWER confirmatory meteorology (not_opened),NASA POWER daily point API (T2M PRECTOTCORR WS2M RH2M ALLSKY_SFC_SW_DWN) for the same confirmatory sites,NASA (generally publishable after acquisition and citation),nasa_power_generally_publishable,not_opened,not_opened,public_nasa_power_api_after_roster_authorization; status_not_opened; does_not_sanitize_jinsha_inputs,NASA POWER daily point API https://power.larc.nasa.gov/
NASA POWER internal Rs (rebuild),NASA POWER daily point ALLSKY_SFC_SW_DWN at Jinsha hydrological-station coordinates (UTC; 2006-01-01/2020-12-31),NASA (US government work; generally publishable after acquisition and citation),nasa_power_generally_publishable,true,true,public_nasa_power_api; does_not_license_yearbook_or_cma_columns,NASA POWER daily point API https://power.larc.nasa.gov/
data/raw/b1.csv,mixed: Yearbook Vol. VI WTEMP/WLEVEL/FLOW; WMO/CMA matching GSOD TEMP/WDSP/PRCP; CMA V3.0 RHMEAN/DH,mixed (yearbook + WMO/CMA + CMA); no embedded station names units timezone or QA flags,mixed_most_restrictive,false,false,agu_gems_confidential_data_files_for_peer_review_upload_of_restricted_working_tree; editor_mediated_access; not_available_upon_request; public_github_hosting_is_a_remaining_defect_not_open_data,same citations as Yearbook + contested GSOD match + CMA V3.0; Figshare does not license this file
